user_id,user_screen_name,indegree,outdegree,bad_user_id
65967227,Maria_or,172,316,90092246
136093147,AngeliJusB12,1206,1283,130880166
101939467,ItsValeCorteez,434,567,143297009
216672149,MariaG9,0,1,144988985
158992179,chupetiica,191,393,129199236
72571224,JazzSammy,428,742,121196487
188862297,noticasbieber,1848,1904,152847565
120772400,VeruuMndz,154,382,117937597
177342782,Jbiebernotice,2093,1748,143544289
177026113,Gaby_Torres26,133,217,143373808
43221388,GabrielaJonas95,465,486,79297146
73301195,SilvanaMendible,819,626,130294839
145831505,jorgelisJB,1430,1430,144782434
202273407,BarbyBieber,2,3,106845588
45416435,AnnRawr,722,334,129154888
129383286,MiliD95,453,528,107188872
128242736,marlys20,2438,2492,107039846
152109201,kathe_belieber,1011,1331,140038049
152424293,Geiribit27,35,46,124808891
99758703,JBieberLandia,5242,1531,100278167
110815639,marystewartbomb,263,362,149297661
141800566,keinygrimaldo,35,30,118271112
152828661,belnicegirl,27,60,125119404
83266049,AnaiisBoucher,80,297,131169329
81350848,Josehany26,454,484,73374151
79791318,oribastidas,392,497,66014238
35304683,LuluKillJoys,872,787,151720847
79826261,Geraldinc,726,810,72648084
142023675,BrendiisDBieber,26,106,131660905
